rank,prev_rank,name,league,off,def,spi
588,586,Mansfield Town,English League Two,0.56,2.12,14.3
589,587,Port Vale,English League Two,0.48,1.96,14.27
590,593,Degerfors IF,Swedish Allsvenskan,0.57,2.18,14.01
591,590,Fleetwood Town,English League One,0.63,2.28,14
592,591,Lincoln Red Imps,UEFA Europa Conference League,0.58,2.2,13.96
593,592,Cambridge United,English League One,0.54,2.13,13.95
594,594,Salford City,English League Two,0.48,2.01,13.74
595,605,LA Galaxy II,United Soccer League,0.65,2.36,13.65
596,597,Detroit City FC,United Soccer League,0.49,2.07,13.37
597,595,AmaZulu,South African ABSA Premier League,0.25,1.58,13.11
598,596,Apollon Smyrni,Greek Super League,0.38,1.88,13
599,598,Exeter City,English League Two,0.38,1.89,12.83
600,599,Northampton Town,English League Two,0.38,1.92,12.65
601,600,Hartford Athletic,United Soccer League,0.5,2.22,12.3
602,601,Sutton United,English League Two,0.47,2.18,12.05
603,602,Guizhou Renhe,Chinese Super League,0.51,2.26,11.96
604,603,Leyton Orient,English League Two,0.38,2.03,11.53
605,606,Perth Glory,Australian A-League,0.5,2.32,11.36
606,607,Tranmere Rovers,English League Two,0.34,1.97,11.32
607,609,Forest Green Rovers,English League Two,0.42,2.16,11.2
